Hall,Meal,Station,Dish
South Pointe At Case,Breakfast,GLP,Oatmeal
South Pointe At Case,Breakfast,GLP,Sausage Patties
South Pointe At Case,Breakfast,GLP,Srambled Eggs
South Pointe At Case,Breakfast,GLP,Veggie Sausage Patties
South Pointe At Case,Lunch,Bliss,Brownie
South Pointe At Case,Lunch,Bliss,Caramel Iced Banana Sheet Cake
South Pointe At Case,Lunch,Bliss,Chocolate Chip Cookie
South Pointe At Case,Lunch,Bliss,Iced Brownie
South Pointe At Case,Lunch,Bliss,Iced Cupcakes
South Pointe At Case,Lunch,Bliss,M&M Cookie
South Pointe At Case,Lunch,Bliss,Rice Krispie Bars
South Pointe At Case,Lunch,Bliss,Snickerdoodle Layer Cake
South Pointe At Case,Lunch,Bliss,Spartan Spirit Sheet Cake
South Pointe At Case,Lunch,Bliss,Sugar Cookie
South Pointe At Case,Lunch,Bliss,Vegan Chocolate Chip Cookie
South Pointe At Case,Lunch,Bliss,Vegan Vanilla Cupcake
South Pointe At Case,Lunch,Brimstone,Black Bean Burger
South Pointe At Case,Lunch,Brimstone,Cheeseburger
South Pointe At Case,Lunch,Brimstone,Chicken Patty Sandwich
South Pointe At Case,Lunch,Brimstone,Crinkle Fries
South Pointe At Case,Lunch,Brimstone,Grilled Chicken Sandwich
South Pointe At Case,Lunch,Brimstone,Quarter Pound Burger
South Pointe At Case,Lunch,Ciao!,Buffalo Chicken Wrap
South Pointe At Case,Lunch,Ciao!,Cheese Pizza
South Pointe At Case,Lunch,Ciao!,Pepperoni Pizza
South Pointe At Case,Lunch,Ciao!,Sausage Pizza
South Pointe At Case,Lunch,GLP,Basmati Rice
South Pointe At Case,Lunch,GLP,Butter Chicken with Rice
South Pointe At Case,Lunch,GLP,Carrot Raita
South Pointe At Case,Lunch,GLP,Garlic Naan
South Pointe At Case,Lunch,GLP,Roasted Ginger Curry Carrots
South Pointe At Case,Lunch,Mibowl,Hard Cooked Eggs
South Pointe At Case,Lunch,Mibowl,Hash Brown Patty
South Pointe At Case,Lunch,Mibowl,Sausage Patties
